cdf goodAverageEquiTiled badAverageEquiTiled goodCubMap badCubMap goodEquirectangularTiled badEquirectangularTiled goodPyramidal badPyramidal goodRhombicDodeca badRhombicDodeca
40.5 0.9988234300000001 0.998827715 0.9991996599999999 0.99824427 0.9982674650000001 0.995975455 0.99742121 0.9871861250000002 0.99770384 0.9927897800000001
41.0 0.9988270600000001 0.9988300099999999 0.9992037500000001 0.99827202 0.9982841 0.9960050099999999 0.9974360099999999 0.9873899400000001 0.9977231400000001 0.99304793
41.5 0.99883638 0.9988408199999999 0.9992061050000001 0.9982843749999999 0.998295545 0.9960475499999999 0.99744861 0.987554585 0.9977342449999997 0.9930959500000001
42.0 0.9988467999999999 0.99884712 0.9992127999999999 0.9982953999999999 0.99829776 0.99611114 0.9974668800000001 0.98763624 0.99774578 0.99320798
42.5 0.998854625 0.9988492749999999 0.9992144999999999 0.998357775 0.9983045999999999 0.9962310750000001 0.997479775 0.987701675 0.997758275 0.9933237749999999
43.0 0.9988629499999999 0.9988538899999999 0.9992166 0.99841582 0.99831298 0.99626412 0.9974969899999999 0.9877615299999999 0.99777555 0.9934488800000001
43.5 0.9988686149999999 0.99886347 0.9992202050000001 0.99844079 0.9983290850000001 0.9962814999999999 0.99753635 0.987807055 0.9977794799999999 0.9936874250000001
44.0 0.99887236 0.9988708800000001 0.9992244 0.9984708 0.99834468 0.9963022800000001 0.9975643999999999 0.9880013599999999 0.9977884 0.9937388
44.5 0.9988769549999998 0.9988751249999999 0.9992274349999999 0.998505375 0.9983664649999999 0.99631222 0.997596305 0.9883902849999999 0.9977973599999999 0.99380066
45.0 0.99889055 0.9988807999999999 0.9992391 0.9985362999999999 0.99837825 0.99634725 0.9976178499999999 0.9885157499999999 0.9978080500000001 0.99397365
45.5 0.99889379 0.9988846499999999 0.9992453299999999 0.9985776550000001 0.998387245 0.99639547 0.9976312749999999 0.988765755 0.99781798 0.9941460350000002
46.0 0.9988960800000001 0.9988912000000001 0.9992477799999999 0.99859 0.9983945799999999 0.9964699000000001 0.99764096 0.9888869 0.9978488799999999 0.9942294599999999
46.5 0.99889992 0.9988962049999999 0.99925949 0.9985945900000001 0.9984181400000001 0.9965073200000001 0.99766497 0.9889442500000001 0.9978522000000001 0.9942561650000001
47.0 0.9989045200000001 0.99890096 0.9992634799999999 0.99861743 0.998438 0.9965346200000001 0.9976726599999999 0.9890387900000001 0.9978580100000001 0.9942991099999999
47.5 0.998912625 0.99890555 0.9992698250000001 0.9986307249999999 0.99845875 0.9965978750000001 0.9977092 0.9891468250000001 0.997869575 0.9943963250000001
48.0 0.99892084 0.9989128 0.999272 0.99863916 0.9984700400000001 0.99665344 0.99773092 0.9892325599999999 0.9978852800000001 0.99450628
48.5 0.9989266 0.9989299550000001 0.9992728 0.9986482849999999 0.9984841400000002 0.996753565 0.99773894 0.9894742 0.997893785 0.9945931500000003
49.0 0.99893614 0.99893823 0.9992748899999999 0.9986541499999999 0.99848841 0.9968172999999999 0.99774735 0.9896330600000001 0.99789706 0.9946906900000001
49.5 0.998946725 0.9989478650000001 0.9992795400000001 0.998673 0.9984963149999999 0.99682901 0.9977560949999998 0.989726995 0.9979050949999999 0.99482719
50.0 0.9989496 0.9989538 0.9992871 0.9986841000000001 0.9985056 0.9969060000000001 0.9977594 0.989876 0.9979107 0.9949600999999999
50.5 0.9989570150000001 0.9989594850000001 0.9992904299999998 0.9987032899999999 0.9985164999999999 0.996933105 0.9977845150000001 0.99001954 0.9979133349999999 0.9950888700000001
51.0 0.9989608400000001 0.9989687199999999 0.9992941599999998 0.99871837 0.99852893 0.9969555999999999 0.99779934 0.99012232 0.9979161300000001 0.9951232099999999
51.5 0.9989657350000001 0.99897689 0.9992970500000001 0.998739765 0.99854208 0.9969708049999999 0.9978101450000001 0.990148335 0.99793441 0.9952059200000001
52.0 0.99896836 0.99897932 0.9993011199999999 0.99874404 0.9985578799999999 0.9969800399999998 0.9978347200000001 0.9902793599999999 0.99794496 0.9952704800000001
52.5 0.998969875 0.9989816 0.999303575 0.998751025 0.9985822750000001 0.9970274 0.99784995 0.9904322750000001 0.997956825 0.9953622999999999
