cdf 0.1s 0.25s 0.5s 1s 1.5s 2s 2.5s 3s 3.5s 4s 4.5s 5s
12.0 0.0060145700583308145 0.012636369014030376 0.02075622546955042 0.03703646531077891 0.05401996105655474 0.0717031092060426 0.09023908722598781 0.11073332741440468 0.1306604596704417 0.1490747616839304 0.16620914785252036 0.1836466416810208
12.5 0.006258467868389799 0.013180712714781544 0.021681229323057837 0.03875417653532131 0.05667138207301439 0.07543476788103806 0.09489379594171625 0.11642194350831826 0.13751907560320162 0.15658828182747164 0.1748672939384238 0.19291218456961298
13.0 0.006499852166195546 0.013728927726075226 0.022572533530495906 0.04048188056544391 0.059362279650180774 0.07915154852679973 0.09971778567790361 0.12238343538672311 0.14433013510662857 0.1640556989291639 0.18364080125542692 0.20222994918999077
13.5 0.0067284314218043866 0.014247892432016499 0.023482254230711177 0.0422534124625379 0.06210399919059588 0.082979558141105 0.10470389727244694 0.12836228855997966 0.15123687140859776 0.1719806825990521 0.19249127088639834 0.21194160530386605
14.0 0.006974480013536622 0.014796965743262846 0.024411719077369276 0.044064792991830734 0.06491344430749807 0.08685980182488177 0.10966264005312298 0.13452875950691906 0.15811877463684923 0.18013827889476663 0.2014042211299754 0.22145118467463987
14.5 0.007222540016005429 0.01533380265355638 0.025351064310004584 0.04591366935734643 0.06788848808488553 0.0908295104931849 0.11460911991800195 0.14074112298024585 0.16515884319411914 0.18833877905233865 0.21056270556064155 0.23128979803807453
15.0 0.007488045015038377 0.015892323585283412 0.02629077797550046 0.04782795088375622 0.07089091113169704 0.0948433213676654 0.11977371391198038 0.1469568662217578 0.17242186084644068 0.19663721036261572 0.21966174482397077 0.2412504512877333
15.5 0.007747684828626141 0.016467983578220036 0.02727654831628154 0.04975006022816038 0.07392187793015852 0.0989919319665677 0.12496390895524703 0.15320834137146266 0.1799356822808198 0.20520996205156752 0.22885944498659935 0.25143473516644566
16.0 0.008011306902484396 0.017021167090348642 0.028260121021611653 0.051640531071330466 0.07697491525492502 0.10322006538739852 0.13030223572592275 0.15947649201651412 0.1874255414986295 0.21397195107977568 0.23826868808519364 0.2618363096503833
16.5 0.008260328449895868 0.017569564365985408 0.029276554417170652 0.05364170128055269 0.08002690727292162 0.10750625195167862 0.13579053526622753 0.1660160250301304 0.19506759442147847 0.22262576271928652 0.24768358950111108 0.27224343378938276
17.0 0.008530844396850215 0.018110660885179704 0.030262938605668616 0.05563788820928154 0.083155663632868 0.11183533328115287 0.1412919285570935 0.1726510340393003 0.20291288965127707 0.2313717464029682 0.2574186784277823 0.28265323601489295
17.5 0.008812341285448663 0.018701156472484694 0.03126372266624468 0.05771764591556225 0.0863294661352632 0.11616581055852712 0.14680674721103784 0.17952808463002498 0.21099861105924395 0.24011929812503202 0.2670359973859544 0.29345373811790404
18.0 0.00909609325123688 0.0192638849208039 0.0322663686749012 0.05974133503932251 0.08961218880617033 0.12066349445855219 0.1523421320149259 0.18633287792860026 0.21908611746800116 0.24904500756330372 0.2768270513247921 0.30423542607773557
18.5 0.009373912808063828 0.019835841498218335 0.03326100440251608 0.06188749878229868 0.09296981187108037 0.1251552731999361 0.15790406408797072 0.19329350591827582 0.22724450960288367 0.25820125304707797 0.2866714086610506 0.3149928989486573
19.0 0.00965180404624436 0.020444649764680307 0.03428889376257763 0.06402890249365106 0.09634522310009525 0.12979937736499292 0.16366475160611493 0.20028407325116354 0.23544342995155265 0.2673354302799144 0.2968553595927504 0.3255515142116423
19.5 0.009970819982060244 0.021039648970450926 0.03537287013802274 0.06630423435070659 0.09983934649075642 0.13455609174185623 0.1696040973236032 0.20759447349651627 0.24373253330547404 0.2766332139854488 0.3068997352281956 0.33643666488233315
20.0 0.010264723606500301 0.021677112076490496 0.03642136223252303 0.06861307819701892 0.10339182213952292 0.1393923963536785 0.17561190824301592 0.21500632598537012 0.2521646020129705 0.2859232813743569 0.3169618990191769 0.34740270121228567
20.5 0.010532293060705902 0.02228736868559438 0.03746512398576117 0.07091636495898059 0.10701546877799412 0.14414909499938333 0.18157733398917342 0.2224087649164359 0.26067762902830627 0.29550350839492195 0.327003768624487 0.3583817228190865
21.0 0.010809889803500464 0.022894054447939877 0.03857628150226221 0.07325922090745453 0.11059165122666648 0.14895940516748785 0.18770284762315262 0.22990266861468217 0.26914162330405966 0.3050521070863048 0.33719271219188673 0.3695436244219862
21.5 0.011113497515008678 0.023538778672293117 0.03967087478613155 0.07561680438351376 0.11422181496872702 0.15386243822735646 0.19394619548279615 0.23742508968834314 0.2778940960892665 0.3145544788569418 0.34749564933969757 0.3807142823172779
22.0 0.011392645310724637 0.02415818282870079 0.040792034483492216 0.0780416534708134 0.11804106290182337 0.1587758482233436 0.2002230872023278 0.24498557250047615 0.2864408943846337 0.32397793247243484 0.35784263608908673 0.3921819690761923
22.5 0.011725996617162266 0.0247821876584831 0.04193313174040445 0.0804335169055933 0.12180352581876804 0.16389383583869044 0.20674880634245907 0.25282495063228605 0.2953072997087335 0.33358583855548724 0.3683266589145655 0.4038549838136781
23.0 0.01201643318633013 0.025424068446557094 0.04311491688055594 0.0829029353520044 0.12558676031926122 0.16909051527889787 0.21340806102995233 0.2607064592094533 0.30420900461533024 0.34332145474038567 0.37897691453976234 0.41576659260518173
23.5 0.012301003002248715 0.026041811803287608 0.0442912172001464 0.08539847394644029 0.12953448560365738 0.17436694110738502 0.22006833920358324 0.2685911282234461 0.3130877769569197 0.35302326160153785 0.3897745127110566 0.42750054324369974
24.0 0.012588284556319194 0.02670416599039082 0.04550363081156919 0.08800624339244838 0.1335629338963628 0.17969960004397745 0.22681260282481328 0.2766359991943729 0.32203315882401573 0.36281595180800874 0.400809136837726 0.4393821022037492
24.5 0.012919230613422275 0.02734415730153566 0.04671695399764373 0.09063439783226446 0.1376647683537146 0.1850528203355723 0.23364261589106014 0.28454647410930395 0.3311524300003943 0.37290849691501615 0.41214343288148925 0.45128109850129017
25.0 0.013224043526503955 0.028034206332772135 0.04797385847209691 0.09323551843907395 0.14169669947103689 0.19047408853318243 0.24042257473156897 0.2927666540901126 0.34030064269820964 0.38282908905151714 0.4234338232651116 0.46343965272707
